,created_at,text,retweet_count,favorite_count,class_predict,followers_count,predict_class_label
0,2019-02-07 12:04:41,rt   sciencequote ,3,0,sports,1.43,2
1,2019-02-07 07:36:41,"rt  women entrepreneurs are the real influencers  amp  changemakers, says kiran mazumdar shaw n shepreneurs,  womenentrepreneur xe2 x80 xa6'",5,0,business,1.43,3
2,2019-02-07 07:34:50,researchers  have identified new therapeutic targets for controlling  cancer cell growth ,3,18,tech,1.43,4
3,2019-02-07 05:59:52,"researchers  have demonstrated the possibility of generating biocompatible lasers from carrots, exploitin xe2 x80 xa6 ",9,52,tech,1.43,4
4,2019-02-07 02:57:54,rt  mohandas pai backs new fdi norms for e commerce n nindia needs competitive e commerce markets not digital oligopolies ,186,0,tech,1.43,4
5,2019-02-07 02:57:30,"rt  on  worldcancerday, oral cancer task force, an expert committee of leading oncologists from across india, made recommend xe2 x80 xa6'",4,0,world,1.43,1
6,2019-02-07 02:48:38,"rt   50 million a year for pediatric cancer? that's all? really? it should be much more  this is an area where industry won't xe2 x80 xa6""",4,0,business,1.43,3
7,2019-02-07 02:47:47,"rt  this is the nature of existence  xe2 x80 x93 if you do the right things, the right things will happen to you   sadhguruquotes ",1869,0,sports,1.43,2
8,2019-02-06 22:54:02,the bishop needs to be exposed n punished for his shameful acts of sexual abuse  the nun needs to be freed from her xe2 x80 xa6 ,139,376,world,1.43,1
9,2019-02-06 14:12:09,rt  oral cancer task force convenor  india has a huge opportunity to be at the global forefront of policy mak xe2 x80 xa6',8,0,world,1.43,1
10,2019-02-06 13:43:16,"congrats to  for the successful launch of  gsat31, india xe2 x80 x99s 40th communications satellite, from french guiana xe2 x80 xa6 ",20,110,tech,1.43,4
11,2019-02-06 05:06:41,researchers  in uk have developed a low cost graphene based  biosensor that can detect most common xe2 x80 xa6 ,14,59,tech,1.43,4
12,2019-02-05 12:57:27,"a new study by the american cancer society published in  shows that obesity related  cancers, including xe2 x80 xa6 ",35,47,tech,1.43,4
13,2019-02-05 07:37:03,"researchers  develop a portable, cheap, point of care diagnostic tool for rapid determination of a person xe2 x80 xa6 ",58,171,tech,1.43,4
14,2019-02-05 05:01:19,the  tech answer to  manualscavenging which we must mandate countrywide through all municipalities ,25,68,tech,1.43,4
15,2019-02-04 17:11:16,"rt   biocon is committed to bring safe, efficacious and affordable medicines for  cancer  we introduced canmab xe2 x84 xa2, biosimilar xe2 x80 xa6'",10,0,tech,1.43,4
16,2019-02-04 17:11:09,"rt   biocon is a pioneer in bringing  innovative, globally benchmarked biologics to patients in india  biomab egfr xc2 xae a mab ta xe2 x80 xa6'",6,0,world,1.43,1
17,2019-02-04 14:19:36,cancer task force recommends guidelines for cancer care   oral cancer can be prevented n cured through various earl xe2 x80 xa6 ,8,29,tech,1.43,4
18,2019-02-04 12:23:09,"kudos to these  bengaluru students who shared their ideas for creating a safer, cleaner and fairer world at the uni xe2 x80 xa6 ",47,198,tech,1.43,4
19,2019-02-04 07:58:19,rt  on  worldcancerday  biocon pledges to continue its fight against cancer by increasing patient access to high quality  bi xe2 x80 xa6',17,0,tech,1.43,4
20,2019-02-04 07:31:35,kudos to this farmer's daughter from a up village who went on study at oxford and returned to india to crack upsc  amp  xe2 x80 xa6 ,727,2925,world,1.43,1
